"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Income_Category","Card_Category","Credit_Limit","Total_Trans_Amt","Avg_Utilization_Ratio","Months_on_book","Months_Inactive_12_mon","monthly_spend","revolving_dependency","utilization","tenure","txn_frequency","avg_txn_value","inactivity_rate","spend_growth","txn_growth","contact_to_txn_ratio","relationship_breadth","contact_intensity","segment","label","churned"
768805383,"Existing Customer",45,"M","$60K - $80K","Blue",12691,1144,0.061,39,1,29.3333333333333,0.678602620087336,0.061,39,1.07692307692308,27.2380952380952,0.0833333333333333,1.335,1.625,0.0697674418604651,5,0.25,"2","Revolving Heavy Users",0
818770008,"Existing Customer",49,"F","Less than $40K","Blue",8256,1291,0.105,44,1,29.3409090909091,0.668730650154799,0.105,44,0.75,39.1212121212121,0.0833333333333333,1.541,3.714,0.0588235294117647,6,0.166666666666667,"2","Revolving Heavy Users",0
713982108,"Existing Customer",51,"M","$80K - $120K","Blue",3418,1887,0,36,1,52.4166666666667,0,0,36,0.555555555555556,94.35,0.0833333333333333,2.594,2.333,0,4,0,"2","Revolving Heavy Users",0
769911858,"Existing Customer",40,"F","Less than $40K","Blue",3313,1171,0.76,34,4,34.4411764705882,2.14761092150171,0.76,34,0.588235294117647,58.55,0.333333333333333,1.405,2.333,0.0476190476190476,3,0.0833333333333333,"2","Revolving Heavy Users",0
709106358,"Existing Customer",40,"M","$60K - $80K","Blue",4716,816,0,21,1,38.8571428571429,0,0,21,1.33333333333333,29.1428571428571,0.0833333333333333,2.175,2.5,0,5,0,"2","Revolving Heavy Users",0
713061558,"Existing Customer",44,"M","$40K - $60K","Blue",4010,1088,0.311,36,1,30.2222222222222,1.14508723599633,0.311,36,0.666666666666667,45.3333333333333,0.0833333333333333,1.376,0.846,0.08,3,0.166666666666667,"3","Stable Moderate Users",0
810347208,"Existing Customer",51,"M","$120K +","Gold",34516,1330,0.066,46,1,28.9130434782609,1.70097670924117,0.066,46,0.673913043478261,42.9032258064516,0.0833333333333333,1.975,0.722,0.09375,6,0.25,"3","Stable Moderate Users",0
818906208,"Existing Customer",32,"M","$60K - $80K","Silver",29081,1538,0.048,27,2,56.962962962963,0.907082521117609,0.048,27,1.33333333333333,42.7222222222222,0.166666666666667,2.204,0.714,0.0540540540540541,2,0.166666666666667,"2","Revolving Heavy Users",0
710930508,"Existing Customer",37,"M","$60K - $80K","Blue",22352,1350,0.113,36,2,37.5,1.86306439674315,0.113,36,0.666666666666667,56.25,0.166666666666667,3.355,1.182,0,5,0,"2","Revolving Heavy Users",0
719661558,"Existing Customer",48,"M","$80K - $120K","Blue",11656,1441,0.144,36,3,40.0277777777778,1.1629680998613,0.144,36,0.888888888888889,45.03125,0.25,1.524,0.882,0.0909090909090909,6,0.25,"3","Stable Moderate Users",0
708790833,"Existing Customer",42,"M","$120K +","Blue",6748,1201,0.217,31,3,38.741935483871,1.22046589018303,0.217,31,1.35483870967742,28.5952380952381,0.25,0.831,0.68,0.0465116279069767,5,0.166666666666667,"3","Stable Moderate Users",0
